bin_center,count,frequency
-2.150000000000021,426,0.0018572449993896378
-2.050000000000021,532,0.0023193763842142895
-1.9500000000000215,522,0.0022757790837591337
-1.8500000000000218,569,0.002480686395898366
-1.7500000000000222,753,0.003282876724273233
-1.6500000000000226,925,0.004032750292101913
-1.550000000000023,1269,0.005532497427759273
-1.4500000000000233,1413,0.006160298554313517
-1.3500000000000236,1931,0.008418638717890588
-1.250000000000024,1924,0.00838812060757198
-1.1500000000000243,1980,0.008632265490120852
-1.0500000000000247,2584,0.011265542437612262
-0.950000000000025,2556,0.011143469996337826
-0.8500000000000254,2979,0.012987635805590918
-0.7500000000000258,3584,0.015625272483127846
-0.6500000000000261,3756,0.016375146050956524
-0.5500000000000265,4971,0.021672218056257957
-0.4500000000000268,6134,0.026742584099192578
-0.3500000000000272,9159,0.03993076748687721
-0.25000000000002753,16296,0.07104616082172192
-0.1500000000000279,28263,0.12321905027640688
-0.050000000000028244,69689,0.3038252271419354
0.0499999999999714,37677,0.16426154892489056
0.14999999999997105,13523,0.05895662940550721
0.2499999999999707,8114,0.03537484958931343
0.34999999999997033,1981,0.008636625220166368
0.44999999999997,688,0.0029994942713147204
0.5499999999999696,330,0.0014387109150201418
0.6499999999999693,135,0.0005885635561446035
0.7499999999999689,70,0.0003051811031860907
0.8499999999999686,47,0.00020490731213923234
0.9499999999999682,40,0.00017438920182062326
1.0499999999999678,39,0.00017002947177510768
1.1499999999999675,41,0.00017874893186613884
1.2499999999999671,41,0.00017874893186613884
1.3499999999999668,37,0.00016131001168407652
1.4499999999999664,33,0.0001438710915020142
1.549999999999966,30,0.00013079190136546746
1.6499999999999657,17,7.411541077376489e-05
1.7499999999999654,20,8.719460091031163e-05
1.849999999999965,20,8.719460091031163e-05
1.9499999999999647,19,8.283487086479605e-05
2.0499999999999643,16,6.975568072824931e-05
2.149999999999964,19,8.283487086479605e-05
2.2499999999999636,17,7.411541077376489e-05
2.3499999999999632,15,6.539595068273373e-05
2.449999999999963,19,8.283487086479605e-05
2.5499999999999625,17,7.411541077376489e-05
2.649999999999962,15,6.539595068273373e-05
2.749999999999962,11,4.79570305006714e-05
2.8499999999999615,11,4.79570305006714e-05
2.949999999999961,2,8.719460091031163e-06
3.0499999999999607,9,3.9237570409640234e-05
3.1499999999999604,2,8.719460091031163e-06
3.24999999999996,4,1.7438920182062327e-05
3.3499999999999597,4,1.7438920182062327e-05
3.4499999999999593,3,1.3079190136546745e-05
3.549999999999959,6,2.615838027309349e-05
3.6499999999999586,2,8.719460091031163e-06
3.7499999999999583,4,1.7438920182062327e-05
3.849999999999958,2,8.719460091031163e-06
3.9499999999999575,3,1.3079190136546745e-05
4.049999999999957,1,4.359730045515582e-06
4.149999999999957,1,4.359730045515582e-06
4.2499999999999565,1,4.359730045515582e-06
4.349999999999956,6,2.615838027309349e-05
4.449999999999956,2,8.719460091031163e-06
4.549999999999955,3,1.3079190136546745e-05
4.649999999999955,2,8.719460091031163e-06
4.749999999999955,2,8.719460091031163e-06
4.849999999999954,2,8.719460091031163e-06
4.949999999999954,2,8.719460091031163e-06
5.049999999999954,2,8.719460091031163e-06
5.149999999999953,3,1.3079190136546745e-05
5.249999999999953,1,4.359730045515582e-06
5.349999999999953,7,3.0518110318609074e-05
5.449999999999952,1,4.359730045515582e-06
5.549999999999952,0,0.0
5.6499999999999515,1,4.359730045515582e-06
5.749999999999951,0,0.0
5.849999999999951,1,4.359730045515582e-06
