bin_center,bin_min,bin_max,count,frequency
-3.6500000000000155,-3.7000000000000153,-3.6000000000000156,85,0.0005821877932342929
-3.550000000000016,-3.6000000000000156,-3.500000000000016,74,0.0005068458435216198
-3.450000000000016,-3.500000000000016,-3.4000000000000163,98,0.0006712282792583613
-3.3500000000000165,-3.4000000000000163,-3.3000000000000167,109,0.0007465702289710344
-3.250000000000017,-3.3000000000000167,-3.200000000000017,109,0.0007465702289710344
-3.1500000000000172,-3.200000000000017,-3.1000000000000174,118,0.0008082136423723125
-3.0500000000000176,-3.1000000000000174,-3.0000000000000178,134,0.0009178019328634735
-2.950000000000018,-3.0000000000000178,-2.900000000000018,131,0.0008972541283963809
-2.8500000000000183,-2.900000000000018,-2.8000000000000185,152,0.0010410887596660296
-2.7500000000000187,-2.8000000000000185,-2.700000000000019,152,0.0010410887596660296
-2.650000000000019,-2.700000000000019,-2.600000000000019,162,0.0011095814412230053
-2.5500000000000194,-2.600000000000019,-2.5000000000000195,186,0.001273963876959747
-2.4500000000000197,-2.5000000000000195,-2.40000000000002,203,0.0013904014356066054
-2.35000000000002,-2.40000000000002,-2.3000000000000203,252,0.001726015575235786
-2.2500000000000204,-2.3000000000000203,-2.2000000000000206,281,0.0019246443517510153
-2.150000000000021,-2.2000000000000206,-2.100000000000021,284,0.001945192156218108
-2.050000000000021,-2.100000000000021,-2.0000000000000213,361,0.0024725858042068203
-1.9500000000000215,-2.0000000000000213,-1.9000000000000217,400,0.0027397072622790254
-1.8500000000000218,-1.9000000000000217,-1.800000000000022,435,0.00297943164772844
-1.7500000000000222,-1.800000000000022,-1.7000000000000224,582,0.003986274066615982
-1.6500000000000226,-1.7000000000000224,-1.6000000000000227,702,0.004808186245299689
-1.550000000000023,-1.6000000000000227,-1.500000000000023,821,0.0056232491558277
-1.4500000000000233,-1.500000000000023,-1.4000000000000234,989,0.00677392620598489
-1.3500000000000236,-1.4000000000000234,-1.3000000000000238,1202,0.008232820323148472
-1.250000000000024,-1.3000000000000238,-1.2000000000000242,1237,0.008472544708597885
-1.1500000000000243,-1.2000000000000242,-1.1000000000000245,1423,0.009746508585557633
-1.0500000000000247,-1.1000000000000245,-1.0000000000000249,1640,0.011232799775344004
-0.950000000000025,-1.0000000000000249,-0.9000000000000252,1909,0.01307525290922665
-0.8500000000000254,-0.9000000000000252,-0.8000000000000256,2133,0.014609488976102904
-0.7500000000000258,-0.8000000000000256,-0.7000000000000259,2464,0.016876596735638797
-0.6500000000000261,-0.7000000000000259,-0.6000000000000263,2778,0.019027266936527832
-0.5500000000000265,-0.6000000000000263,-0.5000000000000266,3447,0.023609427332689503
-0.4500000000000268,-0.5000000000000266,-0.400000000000027,4393,0.030088835007979396
-0.3500000000000272,-0.400000000000027,-0.30000000000002736,6384,0.04372572790597325
-0.25000000000002753,-0.30000000000002736,-0.2000000000000277,10516,0.07202690392531558
-0.1500000000000279,-0.2000000000000277,-0.10000000000002807,16597,0.11367730358011247
-0.050000000000028244,-0.10000000000002807,-2.842170943040401e-14,40429,0.2769090622666968
0.0499999999999714,-2.842170943040401e-14,0.09999999999997122,21870,0.1497934945651057
0.14999999999997105,0.09999999999997122,0.19999999999997087,7898,0.05409551989369936
0.2499999999999707,0.19999999999997087,0.2999999999999705,4592,0.031451839370963214
0.34999999999997033,0.2999999999999705,0.39999999999997016,1966,0.01346566119410141
0.44999999999997,0.39999999999997016,0.4999999999999698,1100,0.00753419497126732
